ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,20190719,955.0,960.8,948.0,955.87,947.5,8.37,0.8834,28014.81,2679887.449
600519.SH,20190722,960.0,964.0,950.25,957.02,955.87,1.15,0.1203,28125.49,2695084.029
600519.SH,20190723,962.3,962.59,943.86,953.98,957.02,-3.04,-0.3177,32483.95,3087319.264
600519.SH,20190724,958.31,959.9,944.69,946.36,953.98,-7.62,-0.7988,46771.2,4450509.786
600519.SH,20190725,945.97,963.36,938.15,963.0,946.36,16.64,1.7583,38255.7,3633246.146
600519.SH,20190726,961.97,971.0,958.55,965.03,963.0,2.03,0.2108,26467.59,2556208.822
600519.SH,20190729,962.03,979.5,960.01,976.41,965.03,11.38,1.1792,26981.33,2626793.557
600519.SH,20190730,976.5,983.0,971.0,978.93,976.41,2.52,0.2581,19537.97,1911965.179
600519.SH,20190731,975.0,981.77,966.59,972.6,978.93,-6.33,-0.6466,22526.2,2191909.987
600519.SH,20190801,976.51,977.0,953.02,959.3,972.6,-13.3,-1.3675,35089.52,3385045.858
600519.SH,20190802,944.0,957.98,943.0,954.45,959.3,-4.85,-0.5056,39719.4,3772328.947
600519.SH,20190805,945.0,954.0,940.0,942.43,954.45,-12.02,-1.2594,36774.31,3473341.317
600519.SH,20190806,931.0,948.0,923.8,946.3,942.43,3.87,0.4106,43991.16,4121445.01
600519.SH,20190807,949.5,955.53,945.0,945.0,946.3,-1.3,-0.1374,26869.98,2553463.419
600519.SH,20190808,953.5,974.0,952.0,971.68,945.0,26.68,2.8233,38808.13,3755086.99
600519.SH,20190809,978.5,980.95,958.99,962.03,971.68,-9.65,-0.9931,28461.7,2760764.357
600519.SH,20190812,1010.31,1020.1,995.01,1018.63,962.03,56.6,5.8834,81498.95,8208540.716
600519.SH,20190813,1016.16,1026.0,1010.68,1017.95,1018.63,-0.68,-0.0668,30329.7,3088013.76
600519.SH,20190814,1030.02,1051.9,1030.02,1043.33,1017.95,25.38,2.4932,41410.95,4327071.299
600519.SH,20190815,1028.0,1046.48,1028.0,1044.9,1043.33,1.57,0.1505,27237.39,2821331.12
600519.SH,20190816,1049.84,1075.58,1041.0,1054.6,1044.9,9.7,0.9283,36086.73,3822488.363
600519.SH,20190819,1061.0,1069.98,1049.05,1055.88,1054.6,1.28,0.1214,32867.58,3471558.016
600519.SH,20190820,1055.0,1073.68,1050.0,1070.0,1055.88,14.12,1.3373,28602.13,3038219.263
600519.SH,20190821,1070.1,1076.97,1061.66,1066.0,1070.0,-4.0,-0.3738,25066.62,2678841.887
600519.SH,20190822,1072.99,1104.0,1070.0,1104.0,1066.0,38.0,3.5647,37590.78,4099045.126
600519.SH,20190823,1105.0,1133.56,1095.62,1130.1,1104.0,26.1,2.3641,40192.3,4495782.91
600519.SH,20190826,1113.0,1128.0,1096.68,1102.95,1130.1,-27.15,-2.4024,48497.89,5382792.365
600519.SH,20190827,1117.0,1131.31,1109.0,1109.0,1102.95,6.05,0.5485,52164.21,5830617.878
